Description,Price/Unit,Unit,Price/Measure,Measure
Sheldon's Cheese Topped Baps x4,1.20,unit,30p,ea
Sainsbury's Yum Yums x4,1.00,unit,25p,ea
Cadbury Triple Chocolate Yule Log,2.00,unit,2.00,ea
Mission Deli Wrap Plain x6,1.20,unit,1.20,ea
Sainsbury's Chocolate Yule Log 260g,1.50,unit,1.50,ea
Cadbury Mini Yule Logs Triple Chocolate x5,1.50,unit,30p,ea
Cadbury Reindeer Cakes x4,2.00,unit,50p,ea
"Sainsbury's Iced Fruit Cake, Taste the Difference 400g",4.00,unit,1.00,100g
Sainsbury's 6 Months Matured Christmas Pudding 800g,4.50,unit,56p,100g
Sainsbury's Hand Decorated Top Iced Fruit Cake 900g,6.00,unit,67p,100g
Sainsbury's Chocolate Sponge Pudding 110g,1.00,unit,77p,100g
Sainsbury's Chocolate Chip Panettone 100g,1.25,unit,1.25,100g
Sainsbury's Syrup Sponge Pudding 110g,1.00,unit,77p,100g
Sainsbury's Christmas Yule Log 625g,7.00,unit,1.12,100g
Sainsbury's Hand Decorated Fruit and Nut Stollen Taste the Difference 545g,7.00,unit,1.28,100g
Sainsbury's Hand Decorated Snowy Tree Iced Fruit Cake 900g,8.00,unit,89p,100g
"Sainsbury's Apricot, Orange & Hazelnut Panettone, Taste the Difference 750g",7.50,unit,1.00,100g
"Sainsbury's Holly Wreath Iced Fruit Cake, Taste the Difference 900g",11.00,unit,1.22,100g
Sainsbury's Iced Rich Fruit Cake Bites x9,2.00,unit,22p,ea
Cadbury All I Want for Christmas Cake selection x12,4.00,unit,33p,ea
"Sainsbury's Triple Chocolate Panettone, Taste the Difference 750g",7.50,unit,1.00,100g
"Sainsbury's Hidden Cherry Centre Christmas Pudding, Taste the Difference 400g",6.00,unit,1.50,100g
Sainsbury's Mini Iced Fruit Cake 150g,2.25,unit,1.50,100g
Sainsbury's 6 Months Matured Alcohol Free Christmas Pudding 400g,3.00,unit,75p,100g
"Sainsbury's Maple & Pecan Christmas Pudding, Taste the Difference 500g",6.00,unit,1.20,100g
Baileys Chocolate Yule Log,5.00,unit,89p,100g
