Description,Price/Unit,Unit,Price/Measure,Measure
Doritos Tangy Cheese Tortilla Chips 6x30g,1.70,unit,94p,100g
Nestle Original Shreddies Cereal 675g,3.20,unit,47p,100g
Green Giant Salt Free Sweet Corn 4x198g (4x165g*),2.65,unit,4.02,kg
Nescaf Original Instant Coffee 300g,7.00,unit,2.33,100g
Sainsbury's Peeled New Potatoes In Water 300g (195g*),35p,unit,1.79,kg
Dolmio Lasagne Sauce White Creamy 470g,1.85,unit,39p,100g
Sainsbury's Ginger Snaps 200g,45p,unit,23p,100g
Jacob's Cream Cracker 2x200g,1.50,unit,38p,100g
Kettle Chips Sweet Chilli & Sour Cream Sharing Crisps 150g,1.00,unit,67p,100g
KitKat 4 Finger Milk Chocolate Bar Multipack 4x41.5g,1.00,unit,60p,100g
BEAR Fruit Yoyos Strawberry Multipack x5 20g,2.40,unit,2.40,100g
Sainsbury's Fairtrade Golden Caster Sugar 1kg,1.90,unit,1.90,kg
Kellogg's Bran Flakes Cereal 750g,3.00,unit,40p,100g
Sainsbury's Baby Carrots In Water 300g (180g*),40p,unit,2.22,kg
Sainsbury's Sultanas 500g,1.70,unit,3.40,kg
Hula Hoops Variety Crisps 12x24g,3.00,unit,1.04,100g
Princes Corned Beef 340g,2.50,unit,74p,100g
"Quaker Oat So Simple Porridge Pot, Original 45g",90p,unit,2.00,100g
Toffee Crisp Milk Chocolate Bar Multipack 4x38g,1.00,unit,66p,100g
Kellogg's Coco Pops Cereal 720g,3.00,unit,42p,100g
Walkers Roast Chicken Crisps 6x25g,1.70,unit,1.13,100g
Patak's Korma Sauce 450g,1.25,unit,28p,100g
"Sainsbury's Water Biscuits, High Bake 200g",1.00,unit,50p,100g
Sainsbury's Nice Biscuits 250g,50p,unit,20p,100g
Nestle Curiously Cinnamon Cereal 375g,2.75,unit,73p,100g
Weetabix Weetos Chocolatey Cereal 500g,2.90,unit,58p,100g
KP Dry Roasted Peanuts 250g,2.50,unit,1.00,100g
Cadbury Dairy Milk Fruit & Nut Chocolate Bar 200g,1.50,unit,75p,100g
Kellogg's Rice Krispies Cereal 700g,3.00,unit,43p,100g
Princes Tuna Chunks in Sunflower Oil 4x145g (112g*),3.50,unit,86p,100g
Colman's Original English Mustard 170g,1.00,unit,59p,100g
McVitie's Digestive 400g x2 Biscuits,2.00,unit,25p,100g
Nestle Coco Shreddies Cereal 500g,2.75,unit,55p,100g
Carnation Sweetened Condensed Milk Tin 397g,1.00,unit,25p,100g
Doritos Chilli Heatwave Tortilla Chips 6x30g,1.70,unit,94p,100g
Jordans Country Crisp With Strawberries Cereal 500g,3.00,unit,60p,100g
"Twinings Peppermint Tea, 20 Tea Bags",1.70,unit,4.25,100g
Yorkshire Everyday Tea Bags x160,4.50,unit,90p,100g
"Homepride Extra Fine Plain Flour, Stay Fresh Pack 1kg",1.55,unit,1.55,kg
Kellogg's Special K Red Berries Cereal 500g,4.00,unit,80p,100g
Cadbury Twirl Chocolate Bar 11x21.5g,2.50,unit,1.06,100g
Nutella Chocolate Spread 750g,3.50,unit,47p,100g
PG tips Original Biodegradable Black Tea Bags x80,2.00,unit,86p,100g
Kellogg's Crunchy Nut Cereal 1.1kg,4.00,unit,40p,100g
Sharwood's Mango Chutney 360g,1.80,unit,50p,100g
Walkers Marmite Crisps 6x25g,1.70,unit,1.13,100g
"Homepride Extra Fine Self Raising Flour, Stay Fresh Pack 1kg",1.55,unit,1.55,kg
Aero Peppermint Mint Chocolate Bar Multipack x4 27g,1.00,unit,93p,100g
Hellmann's Real Mayonnaise 400g,1.75,unit,44p,100g
Sainsbury's Ravioli In Tomato Sauce 400g,55p,unit,1.38,kg
"Oxo Stock Cubes, Chicken x12 71g",1.00,unit,1.41,100g
Del Monte Mandarins In Juice 298g (175g Drained),1.00,unit,57p,100g
Mars Chocolate Bars Multipack 4x39.4g,1.25,unit,79p,100g
Bonne Maman Raspberry Conserve 370g,2.60,unit,70p,100g
KTC Peeled Plum Tomatoes 400g,40p,unit,10p,100g
Jordans Country Crisp With Chunky Nuts Cereal 500g,3.00,unit,60p,100g
Sainsbury's Baking Powder 160g,1.00,unit,6.25,kg
Sainsbury's Self Raising Flour 500g,55p,unit,1.10,kg
Kinder Chocolate 16x12.5g 200g,2.00,unit,1.00,100g
"Tetley Everyday Tea Bags, Softpack x160",3.00,unit,60p,100g
Kenco Smooth Instant Coffee Refill 150g,3.50,unit,2.33,100g
Jacob's Mini Cheddars Red Leicester x6 25g,1.00,unit,66p,100g
Sainsbury's Bicarbonate Of Soda 180g,1.25,unit,6.94,kg
Hellmann's Real Squeezy Mayonnaise 750ml,2.00,unit,28p,100g
Cadbury Dairy Milk Chocolate Bar 10x29.3g,2.50,unit,99p,100g
Heinz Baked Beans 6x415g,3.50,unit,1.41,kg
Napolina Peeled Plum Tomatoes 4x400g,2.00,unit,1.25,kg
Princes Wild Pacific Red Salmon 213g,3.00,unit,1.41,100g
Kellogg's Krave Chocolate Hazelnut Cereal 375g,3.00,unit,80p,100g
Allinson Strong White Bread Flour 1.5kg,2.00,unit,1.33,kg
Dolmio Bolognese Pasta Sauce Original 750g,2.00,unit,27p,100g
Kenco Rich Instant Coffee Refill 150g,3.50,unit,2.33,100g
Kenco Decaff Instant Coffee Refill 150g,3.50,unit,2.33,100g
"Quaker Oat So Simple Porridge, Sultana, Raisin, Cranberry & Apple 10x38.5g",2.75,unit,71p,100g
Sunny Raisins Kids Snack 6 Pack,2.00,unit,78p,100g
Sainsbury's Baked Beans in Tomato Sauce 400g,30p,unit,75p,kg
Sainsbury's Premium Peeled Plum Tomatoes 227g,25p,unit,1.10,kg
Bonne Maman Apricot Conserve 370g,2.60,unit,70p,100g
Kellogg's Corn Flakes Cereal 550g,2.00,unit,36p,100g
Tyrrells Lightly Sea Salted Crisps 6x25g,2.00,unit,1.33,100g
"Quaker Oat So Simple Porridge, Apple & Blueberry Flavour 10x36g",2.75,unit,76p,100g
Kit Kat 2 Finger Dark Chocolate Biscuit Bar 9x20.7g,2.00,unit,1.07,100g
Heinz Tomato Ketchup 910g,2.50,unit,28p,100g
Oxo Beef Stock Cubes x24 142g,2.00,unit,1.41,100g
Jordans Super Berry Granola 550g,4.00,unit,73p,100g
Allinson Easy Bake Yeast 100g,1.10,unit,11.00,kg
KP Original Salted Peanuts 415g,3.00,unit,72p,100g
Walkers Classic Variety Crisps 24x25g,3.00,unit,50p,100g
Lindt Lindor Milk Chocolate Truffles Box 200g,3.50,unit,1.75,100g
Nestle Original Shreddies Cereal 415g,1.50,unit,36p,100g
Del Monte Peach Slices Light Syrup 420g (250g Drained),1.00,unit,40p,100g
Weetabix Crunchy Bran Cereal 375g,2.30,unit,61p,100g
Nestle Nesquik Chocolate Cereal 375g,2.65,unit,71p,100g
Walkers Squares Variety Crisps 6x22g,1.25,unit,95p,100g
Dole Mandarins In Grape Juice 4x113g,2.00,unit,74p,100g
Sainsbury's Mixed Dried Fruit 500g,1.70,unit,3.40,kg
Canderel Original Sweetener Tablets x300,3.00,unit,10p,10tblt
Jordans Super Nutty Granola 550g,4.00,unit,73p,100g
Sainsbury's Lean Cooked Ham 200g,1.20,unit,60p,100g
Weetabix Protein Cereal x24,3.20,unit,13p,bisc
Graze Snack Box Lemon Drizzle Flapjack 53g,1.20,unit,2.26,100g
TREK Cocoa Oat Protein Flapjack 50g,90p,unit,1.80,100g
Bisto Original Gravy Powder 400g,2.30,unit,58p,100g
