Description,Price/Unit,Unit,Price/Measure,Measure
Febreze Cotton Fresh Air Freshener 300ml,2.00,unit,6.67,ltr
Bacofoil Easy Cut Cling Film Refill 60m,2.85,unit,5p,mtr
Dettol All in One Disinfectant Antibacterial Spray Crisp Linen 400ml,3.00,unit,7.50,ltr
Fairy Platinum Quickwash Original Washing Up Liquid 625ml,1.50,unit,2.40,ltr
Cif Power & Shine Kitchen Spray 700ml,3.00,unit,4.29,ltr
Ecover Non-Bio Lavender & Sandalwood Laundry Liquid 1.5L (42 Washes),6.50,unit,4.33,ltr
Sainsbury's Bathroom Cleaner Sponges x2,1.00,unit,50p,ea
"Marigold Kitchen Gloves, Large",2.50,unit,2.50,ea
"Sainsbury's Toilet Cleaner, Citrus 750ml",65p,unit,87p,ltr
Sainsbury's Dishwasher Cleaner 250ml,2.50,unit,10.00,ltr
"Duracell Ultra Alkaline AA Batteries, pack of 4",5.00,unit,1.25,batt
Dylon Colour Catcher Sheets x24,3.20,unit,13p,ea
Fairy Clean & Care Washing Up Liquid Rose & Satin 383ml,1.50,unit,3.92,ltr
Sainsbury's Sponge Cloths x4,1.30,unit,33p,ea
Sainsbury's Cleaning Cloths x4,1.80,unit,45p,ea
"Lenor Tumble Dryer Sheets, Summer Breeze x34",2.50,unit,7p,ea
"Bloo Acticlean Cistern Blocks, Citrus 2x38g",1.00,unit,50p,ea
"Glade Gel, Lavender 160g",1.00,unit,1.00,ea
Fairy Platinum Dishwasher Tabs Lemon x25,5.00,unit,20p,ea
"Domestos Toilet Limescale Remover, Zero Limescale 750ml",1.50,unit,2.00,ltr
"Comfort Creations Fabric Conditioner, Limited Edition 1.16L (33 Washes)",2.00,unit,1.73,ltr
"Glade Shake 'n' Vac, Citrus Blossom 500g",1.00,unit,1.00,ea
Ecover Fabric Softener Apple Blossom & Almond 1.5L (50 washes),3.00,unit,2.00,ltr
Rizla Green 5x50,1.35,unit,1p,ea
Persil Non-Bio Laundry Liquid 648ml,4.00,unit,6.17,ltr
Duck Fresh Brush Refill,3.00,unit,3.00,ea
"Sainsbury's Food Bags, Medium Zip & Seal 27.5x26cm x20",2.00,unit,10p,ea
"Swan Filter Tips, Extra Slim x120",1.25,unit,1p,ea
Sainsbury's Sandwich Bags Captive Flap 18x18cm x60,2.00,unit,3p,ea
"Duck Liquid Toilet Cleaner, Citrus 750ml",1.00,unit,1.33,ltr
Brillo Soap Pads x10,1.50,unit,15p,ea
"Comfort Fabric Conditioner, Sunshiny Days 3L (85 Washes)",3.75,unit,1.25,ltr
Domestos Power 5 Lime Rim Block 55g,1.00,unit,1.00,ea
"Ecover Washing Up Liquid, Lemon & Aloe Vera 450ml",1.75,unit,3.89,ltr
"Finish Dishwasher Rinse Aid, Lemon 400ml",3.50,unit,8.75,ltr
Dishmatic Replacement Heads x3,1.75,unit,58p,ea
Sainsbury's Large Tie Handle Refuse Sacks x20,4.00,unit,20p,ea
Ariel Washing Liquid Gel Touch Of Febreze 888ml (24 Washes),4.00,unit,4.50,ltr
"Domestos Power Fresh Toilet Gel, Ocean 700ml",1.50,unit,2.14,ltr
"Sainsbury's Washing Up Liquid, Original 740ml",80p,unit,1.08,ltr
"Sainsbury's Washing Up Liquid, Sensitive 450ml",80p,unit,1.78,ltr
Fairy Platinum Quickwash Washing Up Liquid Lemon  383ml,1.50,unit,3.92,ltr
Sellotape Original Golden Sticky Tape - 1 Roll 24mm x 50m,1.00,unit,1.00,ea
Sainsbury's Recycled Tie Top Pedal Bin Bags x40,2.10,unit,5p,ea
Spontex Brilliant Scourer,1.00,unit,1.00,ea
Domestos Multipurpose Bleach Spray 750ml,1.75,unit,2.50,ltr
Fairy Fabric Conditioner For Sensitive Skin 2.905L (83 Washes),4.00,unit,1.38,ltr
"Sainsbury's Food Bags, Small Zip & Seal 19,5x18cm x40",3.00,unit,8p,ea
"Cif Bathroom Mousse, Citrus 500ml",2.00,unit,4.00,ltr
"Comfort Intense Fabric Conditioner Fresh Sky, 900ml (60 wash)",4.50,unit,5.00,ltr
"Glade Air Freshener, Bali & Sandalwood 300ml",1.00,unit,3.33,ltr
"Sainsbury's Toilet Cleaner, Pine 750ml",65p,unit,87p,ltr
Kleenex Balsam Pocket Tissues 8 Pack,2.00,unit,2.78,100sht
"Method Shower Spray, Ylang Ylang 828ml",3.00,unit,3.62,ltr
Sainsbury's Super Absorbent Cloths x3,1.00,unit,33p,ea
Oven Pride Complete Oven Cleaner 500ml,4.00,unit,8.00,ltr
"Surf Washing Liquid, Tropical Lily & Ylang Ylang 875ml (25 Washes)",3.00,unit,3.43,ltr
"Sainsbury's Food Bags, Small Tie Handle 22x11cm x60",1.80,unit,3p,ea
Andrex Skin Kind Toilet Tissue 4 Rolls,2.75,unit,43p,100sht
Persil Non-Bio Laundry Tablets 1.2kg (20 Washes),5.50,unit,4.58,kg
"Sainsbury's Concentrated Laundry Liquid, Colour 750ml",1.75,unit,2.33,ltr
"Vanish Stain Remover Powder, Colour 1kg",5.50,unit,5.50,kg
"Sainsbury's Furniture Polish with Beeswax, Lavender 300ml",60p,unit,2.00,ltr
Ariel Washing Powder Original 3.9kg (60 Washes),10.00,unit,2.56,kg
Sainsbury's Pre-Wash Stain Remover Spray 500ml,1.80,unit,3.60,ltr
Swan Vesta Matches,70p,unit,70p,ea
"Sainsbury's Dishwasher Cleaner, Lemon 250ml",2.50,unit,10.00,ltr
"Duracell Plus Alkaline AAA Batteries, pack of 8",7.00,unit,88p,batt
Zoflora Assortment 250ml,2.00,unit,8.00,ltr
"Sainsbury's Laundry Liquid, Delicates 630ml (15 Washes)",2.60,unit,4.13,ltr
Sainsbury's Super Absorbent Recycled x2,2.00,unit,1.00,100sht
"Mr Sheen Multi-Surface Polish, Original 300ml",1.50,unit,5.00,ltr
Dr. Oetker Bicarbonate of Soda 200g,1.40,unit,7.00,kg
"Sainsbury's Tumble Dryer Sheets, Clear Skies x40",1.80,unit,5p,ea
Sainsbury's Kerbside Caddy Liners x10,3.00,unit,30p,ea
Febreze Classic Fabric Refresher Spray 500ml,3.00,unit,6.00,ltr
Dr. Beckmann Service It Deep Clean Washing Machine Cleaner 250g,3.10,unit,12.40,kg
Sainsbury's Limescale Remover Liquid 750ml,85p,unit,1.13,ltr
Sainsbury's Super-Strong Supersized Antibacterial Multi-Surface Wipes x20,1.50,unit,8p,wipe
Wet Ones Be Fresh Antibacterial Hand Wipes x12 Wipes,1.00,unit,8.33,100sht
"Vanish Stain Remover Powder, Crystal White 1kg",5.50,unit,5.50,kg
Dr. Beckmann Glowhite Powder 5x40g,1.25,unit,6.25,kg
"Neutradol Air Deodoriser Gel, Superfresh",1.75,unit,1.75,ea
Benson & Hedges Blue Superkings x20,9.30,unit,47p,cig
"Sainsbury's All Purpose Cleaner, Cotton 1L",1.00,unit,1.00,ltr
Woolite Laundry Liquid Handwash 750ml,4.00,unit,5.33,ltr
