Description,Price/Unit,Unit,Price/Measure,Measure
Ella's Kitchen Blueberries Apples Bananas & Vanilla Pouch 120g 4 Month+,1.10,unit,86p,100g
Milton Sterilising Fluid 1L,2.50,unit,2.50,ea
Aptamil 2 Follow On Milk Ready To Feed Liquid 1L,3.95,unit,40p,100ml
Ella's Kitchen Organic Tomato-y Pasta Baby Pouch 10+ Months 190g,2.00,unit,1.05,100g
Cow & Gate 1 First Baby Milk Formula Multipack From Birth 4x200ml,2.80,unit,35p,100ml
Organix Apple & Date Chunky Fruit Bars 6x17g,2.00,unit,1.96,100g
"Sainsbury's Baby Sponges, Twin Pack x2",60p,unit,30p,ea
BEAR PAWS Fruit Shapes Raspberry & Blueberry Multipack x5 20g,2.50,unit,2.50,100g
HiPP Spaghetti Bolognese tray Meal 230g 12 Month+,2.00,unit,87p,100g
Sainsbury's Little Ones Size 2 Newborn 46 Nappies,2.00,unit,4p,napy
Ella's Kitchen Organic Lamb Roast Dinner Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Aptamil 4 Growing Up Milk Powder 2+ Years 800g,10.50,unit,1.31,100g
Aptamil 3 Growing Up Milk Ready to Feed Liquid 1+ Years 1L,2.50,unit,25p,100ml
Kiddylicious Apple Fruity Bakes 6 x 22g (132g),2.20,unit,1.67,100g
Heinz Chocolate Biscotti Snack 60g 7 Month+,85p,unit,1.42,100g
Ella's Kitchen Organic Beef Stew with Potatoes Baby Pouch 10+ Months 190g,2.00,unit,1.05,100g
Huggies Little Swimmers Size 5-6  11 Swim Nappies,5.50,unit,50p,napy
HiPP Organic Scrumptious Lasagne Tray Meal 230g 12 Month+,2.00,unit,87p,100g
Sainsbury's Little Ones Dry Fit Size 6 Jumbo 60 Nappies,4.75,unit,8p,ea
Sainsbury's Little Ones Organic Simply Prune Smooth Puree  4+ Months 70g,60p,unit,86p,100g
Ella's Kitchen Organic Rice Pudding with Mangoes and Apples Baby Pouch 7+ Months 80g,1.50,unit,1.88,100g
Cow & Gate 1 First Baby Milk Formula From Birth 1L,3.20,unit,32p,100ml
Organix Raspberry & Apple Moos 12g,60p,unit,5.00,100g
Ella's Kitchen Organic Lamb Roast Dinner Baby Pouch 10+ Months 190g,2.00,unit,1.05,100g
Sainsbury's Disposable Breast Pads x40,1.50,unit,4p,unit
Ella's Kitchen Organic Carribbean Chicken Baby Pouch 10+ Months 190g,2.00,unit,1.05,100g
Pampers Baby Dry Size 5+ Essential Pack 35 Nappies,6.75,unit,19p,napy
Sainsbury's Little Ones Dry Fit Size 5 Jumbo 72 Nappies,4.75,unit,7p,ea
Tilda Kids Cheese & Tomato Rice 125g 12 Month+,1.15,unit,92p,100g
HiPP Organic Star Pasta with Butternut Squash & Chicken Jar190g 7 Month+,70p,unit,37p,100g
Ella's Kitchen Organic Chicken Roast Dinner Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Kiddylicious Cheesy Straws 12g,65p,unit,5.42,100g
"Pampers Baby-Dry Nappy Pants, Size 6, 15kg+ x52",9.75,unit,19p,ea
Heinz Farleys Reduced Sugar Rusks 150g 4 Month+,1.00,unit,67p,100g
Vosene Kids 3 in 1 Shampoo 250ml,2.00,unit,80p,100ml
Pampers Baby Dry Size 5 Jumbo 72 Nappies,9.75,unit,14p,ea
Organix Banana Soft Oaty Bars 6x30g,2.75,unit,1.53,100g
Vitabiotics Wellkid Baby Liquid 150ml,5.00,unit,3.33,100ml
Aquafresh Milk Teeth 0-2 Years Kids Soft Toothbrush x1,1.50,unit,1.50,ea
Sudocrem Antiseptic Healing Cream 250g,4.50,unit,1.80,100g
WaterWipes Baby Wipes Sensitive Skin (4 Packs x 60 Wipes),10.00,unit,4p,wipe
Cow & Gate 1 First Baby Milk Formula From Birth 800g,8.00,unit,1.00,100g
"Sainsbury's Kids 2in1 Bath & Shower Wash, Sensitive 500ml",1.50,unit,30p,100ml
HiPP Organic Sweet Squash & Chicken Jar 6+ Months 125g,60p,unit,48p,100g
Organix Banana & Date Chunky Fruit Bars 6x17g,2.00,unit,1.96,100g
DryNites Girls Pyjama Pants Age 8-15 Years 9 Pants,5.50,unit,61p,napy
BEAR PAWS Fruit Shapes Raspberry & Blueberry 20g,60p,unit,30p,10g
Calpol SixPlus Fastmelts Strawberry Flavour 6+ Years 12 Melt in the Mouth Tablets,3.75,unit,31p,tblt
HiPP Organic Wholesome Vegetable & Chicken Risotto Tray Meal 230g 12 Month+,2.00,unit,87p,100g
Ella's Kitchen Organic Veggie Bean Feast Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Cow & Gate Creamy Porridge Cereal 125g 4 Month+,1.75,unit,1.40,100g
Organix Mini Oaty Bites 110g,2.00,unit,1.82,100g
HiPP Organic Potato Pumpkin & Chicken Scrumble Tray Meal 230g 12 Month+,2.00,unit,87p,100g
SMA PRO First Infant Milk From Birth Ready to Feed 1L,3.70,unit,37p,100ml
Ella's Kitchen Organic Vegetable and Lentil Bake Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
Sainsbury's Little Ones Organic Pear & Apple Smooth Puree from 4-6 Months 70g,60p,unit,86p,100g
HiPP Organic Pasta Tomato & Ham Pasta Bake Jar 190g 7 Month+,70p,unit,37p,100g
Ella's Kitchen Organic Veggie Lasagne Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
"Pampers Baby-Dry Nappies, Size 6, 13-18kg x62",9.75,unit,16p,ea
Sainsbury's Little Ones Size 1 Newborn 40 Nappies,1.50,unit,4p,napy
Heinz Apple & Blackcurrant Juice Drink 500ml 6 Month+,1.50,unit,30p,100ml
HiPP Organic Squiggly Spaghetti With Tasty Tomato & Mozzarella Sauce tray Meal 230g 12 Month+,2.00,unit,87p,100g
HiPP Organic Cottage Pie Jar 190g 7 Month+,70p,unit,37p,100g
Johnson's Baby Bath 500ml,2.25,unit,45p,100ml
"Pampers Baby-Dry Nappy Pants, Size 5, 12-17kg x60",9.75,unit,16p,ea
HiPP Organic Hearty Vegetable & Beef Casserole Tray Meal 230g 12 Month+,2.00,unit,87p,100g
HiPP Vegetables With Noodles & Chicken Jar 190g 7 Month+,70p,unit,37p,100g
HiPP Organic Apple & Pear Pudding Jar 125g 4 Month+,60p,unit,48p,100g
DryNites Boys Pyjama Pants Age 3-5 Years 10 Pants,5.50,unit,55p,napy
Napisan Powder 800g,4.00,unit,4.00,ea
"Eco by Naty Nappies Size 5, 40 Nappies",9.50,unit,24p,napy
Sainsbury's Kids Strawberry 2 In 1 Shampoo 250ml,1.00,unit,40p,100ml
Metanium Nappy Rash Ointment 30g,3.00,unit,10.00,100g
Cow & Gate My First Muesli Cereal 330g 10 Month+,2.25,unit,68p,100g
Johnson's Baby Powder 100g,1.50,unit,1.50,100g
Kiddylicious Cheesy Straws 4 x 12g (48g),2.50,unit,52p,10g
Listerine Smartrinse Mild Mint Kids Mouthwash 6+ Years 500ml,3.00,unit,60p,100ml
Ella's Kitchen Organic Fish Pie Baby Pouch 7+ Months 130g,1.50,unit,1.15,100g
HiPP Organic Shell Pasta With Juicy Tomatoes & Courgettes Tray Meal 230g 12 Month+,2.00,unit,87p,100g
Organix Apple Rice Cakes Multipack 4x28g,2.50,unit,2.23,100g
L'Oreal Paris Kids Very Berry Strawberry Conditioner 250ml,2.40,unit,96p,100ml
Ella's Kitchen Organic Bolognese Bake Toddler Tray Meal 12+ Months 200g,2.20,unit,1.10,100g
Lansinoh Disposable Breast Pads x60,5.50,unit,9p,ea
Pampers Baby Dry Size 4 Jumbo+ 86 Nappies,9.75,unit,11p,ea
Kiddylicious Banana Wafers Snack 40g  6 Month+,2.20,unit,5.50,100g
HiPP Organic Mango & Banana With Yogurt Jar 160g 7 Month+,70p,unit,44p,100g
Ella's Kitchen Organic Vanilla and Banana Baby Biscuits Multipack Snack 10+ Months 12 x9g,1.50,unit,83p,100g
HiPP Organic Spaghetti Bolognese Jar 190g 7 Month+,70p,unit,37p,100g
Aptamil ProFutura 3 Growing Up Milk Formula 800g,15.00,unit,1.88,100g
Organix Cherry Rice Cakes 50g,1.20,unit,2.40,100g
HiPP Organic 2 Follow On Milk Powder 800g,10.50,unit,1.31,100g
Sainsbury's Little Ones Bedtime Bath 500ml,1.00,unit,20p,100ml
Bepanthen Nappy Rash Cream Ointment 100g,7.00,unit,7.00,100g
E45 Junior Foaming Bath Milk 500ml,4.50,unit,90p,100ml
Johnson's Baby Oil 500ml,2.25,unit,45p,100ml
HiPP Organic Vegetables with Rice and Chicken Jar 6+ Months 125g,60p,unit,48p,100g
Organix Raspberry & Apple Soft Oaty Bars Big Family Box 12x30g,4.50,unit,1.25,100g
Cow & Gate Hungry Baby Milk Formula From Birth 200ml,75p,unit,38p,100ml
Tilda Kids Mild & Sweet Curry Rice 125g 12 Month+,1.15,unit,92p,100g
