Description,Price/Unit,Unit,Price/Measure,Measure
Panadol Advance paracetamol pain relief tablets x16,1.65,unit,10p,ea
"Radox Feel Good Fragrance Bath Soak, Relax 500ml",1.20,unit,24p,100ml
Always Ultra Normal (Size 1) Sanitary Towels Wings x14,1.90,unit,14p,ea
Oral-B Essential Waxed Regular Mint Dental Floss,1.50,unit,3p,mtr
Sensodyne Repair & Protect Whitening Sensitive Toothpaste 75ml,5.00,unit,6.67,100ml
Palmolive Naturals Moisture Care With Olive Soap Bar 3x90g,1.00,unit,37p,100g
"Sure Women Roll On Anti-Perspirant Deodorant, Cotton Dry 50ml",1.00,unit,2.00,100ml
Colgate Total Active Fresh Toothpaste 125ml,3.50,unit,2.80,100ml
Oral-B Complete Toothpaste+Mouthwash Refreshing Clean 100ml,1.50,unit,1.50,100ml
Colgate Advanced White Whitening Toothpaste 125ml,2.00,unit,1.60,100ml
Nivea Men Shower Gel Energy 250ml,1.00,unit,40p,100ml
Bell's Healthcare Ibuprofen 200mg Coated Tablets 16 Tablets,75p,unit,5p,ea
Dove Invisible Dry Roll-On Anti-Perspirant Deodorant 50ml,1.50,unit,3.00,100ml
Dove Original Roll-On Anti-Perspirant Deodorant 50ml,1.50,unit,3.00,100ml
Aussie Miracle Moist Shampoo 300ml,2.65,unit,88p,100ml
Nivea Men Shower Gel Sensitive 250ml,1.00,unit,40p,100ml
Femfresh Intimate Hygiene Daily Intimate Wash 250ml,2.50,unit,1.00,100ml
Sainsbury's Ultra Towels Normal Wings x14,65p,unit,5p,ea
Sainsbury's Little Ones Cotton Buds Paper Stemmed x100,40p,unit,0p,unit
Sainsbury's Ultra Towel Night Wings x10,65p,unit,7p,ea
Aquafresh Complete Care Whitening Toothpaste 100ml,1.50,unit,1.50,100ml
Corsodyl Daily Fresh Mint Gum Care Mouthwash 500ml,4.75,unit,95p,100ml
Listerine Cool Mint Milder Taste Mouthwash 500ml,2.50,unit,50p,100ml
Dove Original Beauty Cream Bar 4x100g,2.00,unit,50p,100g
Gillette Sensitive Skin Shaving Foam 200ml,1.50,unit,75p,100ml
Always Maxi Profresh Night Sanitary Towels Without Wings x9,2.10,unit,23p,ea
Always Dailies Extra Protect Panty Liners Large x 52,2.00,unit,4p,ea
Sainsbury's Large Cotton Wool Balls x100,1.30,unit,1p,ea
Johnson's Baby Powder 500g,2.25,unit,45p,100g
"Radox Men Bath Soak, Muscle Therapy 500ml",1.20,unit,24p,100ml
Colgate Sensitive PRO-Relief Toothpaste 75ml,2.00,unit,2.67,100ml
"Right Guard Total Defence 5, Anti-Perspirant Deodorant, Fresh 250ml",1.50,unit,60p,100ml
"Carex Aloe Hand Gel, Instant Drying 50ml",1.00,unit,2.00,100ml
Simple Cleansing Wipes Banded Pack 2x25,3.00,unit,6p,wipe
Steradent Active Fresh Denture Cleaning Tablets x30,1.30,unit,4p,ea
Aussie Miracle Moist Conditioner 250ml,2.65,unit,1.06,100ml
Tampax Compak Regular Tampons Applicator x18,2.50,unit,14p,ea
Mitchum Women Triple Odor Defense Protection Powder Fresh Anti-Perspirant & Deodorant 200ml,2.00,unit,1.00,100ml
"Dove Anti-Perspirant Deodorant Stick, Invisible Dry 40ml",2.75,unit,6.88,100ml
Dove Invisible Dry Anti-Perspirant Deodorant Compressed 75ml,1.80,unit,2.40,100ml
Wet Ones Be Fresh Antibacterial Hand Wipes x12 Wipes,1.00,unit,8.33,100sht
"Nurofen Express Ibuprofen 200mg, Liquid Capsules x16",3.20,unit,20p,ea
"Calpol Sugar Free Suspension, Strawberry Flavour 6+ 80ml",3.50,unit,4.38,100ml
Palmolive Hygiene Plus Aloe Sensitive Antibacterial Liquid Handwash Soap 300ml,90p,unit,30p,100ml
"Lynx Shower Gel, Africa 250ml",1.00,unit,40p,100ml
"Right Guard Xtreme, Anti-Perspirant Deodorant, Fresh 150ml",1.00,unit,67p,100ml
Always Dailies Extra Protect Panty Liners Long Plus x 24,1.90,unit,8p,ea
Nivea Men Anti-Perspirant Deodorant Spray Black & White Original 48 Hours Deo 250ml,1.60,unit,64p,100ml
Dettol Antibacterial Bar Soap Original with Moisturising Agents x2 100 g,1.00,unit,50p,100g
Oral-B Complete Extra White Toothpaste 100ml,1.50,unit,1.50,100ml
Head & Shoulders Classic Clean Anti-Dandruff Shampoo 250ml,2.75,unit,1.10,100ml
Nivea Anti-Perspirant Deodorant Spray Black & White Original 48 Hours Deo 250ml,1.60,unit,64p,100ml
Wash & Go 2 in 1 Universal Shampoo 200ml,1.00,unit,50p,100ml
Herbal Essences Hello Hydration Shampoo 400ml,2.00,unit,50p,100ml
"Sure Men Roll On Anti-Perspirant Deodorant, Original Dry 50ml",1.00,unit,2.00,100ml
"Sure Men Roll On Anti-Perspirant Deodorant, Sensitive 50ml",1.00,unit,2.00,100ml
Imperial Leather Mallowmazing Shower Cream 250ml,1.00,unit,40p,100ml
Silvikrin Classic Hairspray Maximum Hold 400ml,3.00,unit,75p,100ml
"Sainsbury's Collection Handwash, Bergamot & Nectarine 500ml",1.30,unit,26p,100ml
Colgate Plax Soft Mint Mouthwash with CPC 500ml,3.00,unit,60p,100ml
"Nurofen Ibuprofen 200mg, Caplets x16",2.20,unit,14p,tblt
"Colgate Kids Toothbrush Extra Soft, 0-3 Years",1.25,unit,1.25,ea
Bodyform So Slim Light Liners 34s,1.20,unit,4p,ea
Sensodyne Daily Care Extra Fresh Sensitive Toothpaste 75ml,2.00,unit,2.67,100ml
Tampax Compak Super Tampons Applicator x18,2.50,unit,14p,ea
Sainsbury's Maxi Towel Night x12,90p,unit,8p,ea
Baylis & Harding Black Pepper & Ginseng Handwash 500ml,1.50,unit,30p,100ml
Always Sensitive Normal Ultra (Size 1) Sanitary Towels Wings x14,95p,unit,7p,ea
Head & Shoulders Classic Clean Anti-Dandruff 2 in 1 Shampoo 450ml,4.50,unit,1.00,100ml
Gillette Fusion Sensitive Skin Shaving Gel 200ml,3.00,unit,1.50,100ml
Sure Men Invisible Ice Anti-Perspirant Deodorant Aerosol 250ml,1.50,unit,60p,100ml
Nivea Refreshing Cleansing Face Wipes x25,1.50,unit,6p,wipe
Sainsbury's Anti-Diarrhoea Capsules x6,1.15,unit,19p,tblt
Johnson's Baby Gold Shampoo 300ml,1.50,unit,50p,100ml
Wet Ones Be Zingy Antibacterial Hand Wipes x12 Wipes,1.00,unit,8.33,100sht
Wright's Coal Tar Bar Soap 125g,80p,unit,64p,100g
Carex Fun Edition Love Hearts Handwash 250ml,1.00,unit,40p,100ml
Always Ultra Long (Size 2) Sanitary Towels Wings x12,1.90,unit,16p,ea
Pears Handwash 250ml,2.00,unit,80p,100ml
Sainsbury's Hand Wash 500ml,50p,unit,10p,100ml
Sure Women Invisible Pure Aerosol Anti Perspirant Deodorant 250ml,1.50,unit,60p,100ml
L'Oreal Elvive Fibrology Fine Hair Thickening Shampoo 400ml,3.50,unit,88p,100ml
Imperial Leather Gentle Care Bar Soap 4x100g,1.75,unit,44p,100g
Herbal Essences Dazzling Shine Conditioner 400ml,2.00,unit,50p,100ml
Sainsbury's Double Faced Round Cotton Wool Pads x100,1.75,unit,2p,ea
Bodyform Towel Ultra Super Wings x12,1.50,unit,13p,ea
Sanex Dermo Invisible Dry Antiperspirant Roll On Deodorant 50ml,1.00,unit,2.00,100ml
"Impulse Body Spray, Tease 75ml",1.00,unit,1.33,100ml
Berocca Orange Energy Effervescent Vitamin Tablets x15,4.00,unit,27p,tblt
Colgate Triple Action Original Mint Toothpaste 100ml,1.00,unit,1.00,100ml
Sainsbury's Apple Shampoo 500ml,75p,unit,15p,100ml
Tena Lady Discreet Normal Pads x12,2.40,unit,20p,ea
Halls Mentholyptus Original Sugar Free,60p,unit,60p,ea
Tampax Regular Tampons Applicator Cardboard x20,1.90,unit,10p,ea
Pears Oil Clear Soap 125g,70p,unit,56p,100g
Dove Daily Moisture Shampoo 400ml,2.00,unit,50p,100ml
Sainsbury's Effervescent Vitamin C & Zinc x20,1.75,unit,9p,ea
"TRESemm Cleanse & Renew, Deep Cleansing Hair Shampoo 900ml",2.95,unit,33p,100ml
Herbal Essences Ignite My Colour Shampoo 400ml,2.00,unit,50p,100ml
Sainsbury's Junior Paracetamol Suspension 100ml,2.05,unit,2.05,100ml
Aquafresh Little Teeth 3-5 Years Kids Soft Toothbrush x1,1.50,unit,1.50,ea
L'Oreal Men Expert Fresh Extreme 48H Anti-Perspirant Deodorant 250ml,1.75,unit,70p,100ml
Simple Kind To Skin Moisturising Facial Wash 150ml,3.00,unit,2.00,100ml
L'Oral Kids Extra Gentle 2-in-1 Very Berry Strawberry Shampoo 250ml,2.40,unit,96p,100ml
Radox Bath Therapy Muscle Soak Herbal Bath Salts 400g,1.00,unit,25p,100g
"Nivea Lip Balm, Original Care 4.8g",1.25,unit,26.04,100g
"Sainsbury's Ladies Shave Gel, Sensitive 200ml",1.00,unit,50p,100ml
Tampax Super Tampons Applicator Cardboard x20,1.90,unit,10p,ea
"Impulse Body Spray, True Love 75ml",1.00,unit,1.33,100ml
Listerine Cool mint Mouthwash 1L,4.00,unit,40p,100ml
Always Ultra Night (Size 3) Sanitary Towels Wings x10,1.90,unit,19p,ea
"Radox Men Feel Sporty 2in1 Shower Gel, Watermint & Sea Minerals 250ml",1.00,unit,40p,100ml
Herbal Essences Hello Hydration Conditioner 400ml,2.00,unit,50p,100ml
Gillette Blue II Plus Slalom Disposable Razors x8,3.50,unit,44p,bld
"Right Guard Women Total Defence 5 Anti-Perspirant Deodorant, Invisible Power 250ml",1.50,unit,60p,100ml
Men Advance Sensitive Shave Gel 200ml,1.00,unit,50p,100ml
Lockets Honey & Lemon Cough Sweet Lozenges 41g,60p,unit,1.46,100g
Batiste Original Dry Shampoo 200ml,2.25,unit,1.13,100ml
"Dove Purely Pampering Beauty Bar, Shea Butter 2x100g",1.00,unit,50p,100g
"Right Guard Woman Xtreme, Anti-Perspirant Deodorant, Invisible 150ml",1.00,unit,67p,100ml
Fixodent Adhesive Original Denture Cream 47g,3.00,unit,6.38,100g
"Sainsbury's Aspirin, Tablets x16",45p,unit,3p,tblt
Oral-B 3D White Luxe Perfection Whitening Toothpaste 75ml,4.00,unit,5.33,100ml
Sainsbury's Classic Clean Anti-Dandruff Shampoo 300ml,1.00,unit,33p,100ml
"Sainsbury's Collection Handwash, Fig & Jasmine 500ml",1.30,unit,26p,100ml
Tampax Super Plus Tampons Applicator Cardboard x20,1.90,unit,10p,ea
"Lil-Lets Tampons, Super PLus Extra x14",1.70,unit,12p,ea
Oral-B Pro-Expert Healthy White Whitening Toothpaste 75ml,2.00,unit,2.67,100ml
Clean & Clear Facial Wash 150ml,3.00,unit,2.00,100ml
Sainsbury's Massage Sponge,1.00,unit,1.00,ea
Oral-B 1-2-3 Toothpaste 100ml,1.00,unit,1.00,100ml
"Adidas Shower Gel, Ice Dive 250ml",1.50,unit,60p,100ml
Nivea Men Anti-Perspirant Deodorant Spray Sensitive Protect 48 Hours Deo 250ml,1.60,unit,64p,100ml
"Alberto Balsam Hair Shampoo, Sunkissed Raspberry 350ml",1.00,unit,29p,100ml
Simple Kind to Skin Nourishing Body Wash 250ml,1.00,unit,40p,100ml
Dove Men+Care Clean Comfort Body & Face Wash 250ml,2.20,unit,88p,100ml
"Right Guard Total Defence 5, Anti-Perspirant Deodorant, Cool 250ml",1.50,unit,60p,100ml
"Radox Feel Good Fragrance Bath Soak, Nourish 500ml",1.20,unit,24p,100ml
Aquafresh Complete Care Original Toothpaste 100ml,1.50,unit,1.50,100ml
Halls Mentholyptus Extra Strong x9,60p,unit,60p,ea
Aquafresh Big Teeth 6-8 Years Kids Soft Toothbrush x1,1.50,unit,1.50,ea
"Lynx Dry Anti-Perspirant Deodorant, Africa 150ml",3.00,unit,2.00,100ml
Nivea Men Shower Gel Sport 250ml,1.00,unit,40p,100ml
Johnson's Baby Gold Shampoo 500ml,2.25,unit,45p,100ml
"Lynx Shower Gel, Africa 400ml",1.50,unit,38p,100ml
"Dove Go Fresh Roll-On Anti-Perspirant Deodorant, Cucumber 50ml",1.50,unit,3.00,100ml
Always Ultra Normal (Size 1) Sanitary Towels x16,1.90,unit,12p,ea
Alberto Balsam Sunkissed Raspberry Hair Conditioner 350ml,1.00,unit,29p,100ml
Johnson's Baby Powder 200g,1.50,unit,75p,100g
"Femfresh Intimate Hygiene Feminine Freshness Wipes, Large x25",2.00,unit,8p,ea
Simple Kind To Eyes Eye Makeup Remover 125ml,3.00,unit,2.40,100ml
Tena Lady Maxi Night Pads x6,2.40,unit,40p,ea
Plackers Mint Flossers 36 Sticks,1.50,unit,1.50,ea
Mitchum Powderfresh Roll-On Anti-Perspirant Deodorant 100ml,2.00,unit,2.00,100ml
Wilkinson Sword Extra II Razor for Women x5,1.25,unit,25p,ea
"Impulse Body Spray, Hint of Musk 75ml",1.00,unit,1.33,100ml
Vosene Medicated Original Anti-Dandruff Shampoo 250ml,2.00,unit,80p,100ml
Colgate Total Peppermint Blast Mouthwash with CPC 500ml,2.00,unit,40p,100ml
Gillette Mach 3 Razor Blades x4,8.50,unit,2.13,bld
Nivea Men Sensitive Shave Gel with 0 % Alcohol 200ml,2.00,unit,1.00,100ml
