Description,Price per Unit,Unit,Price per Measure,Measure
"Sainsbury's Indulgence Ice Cream, Almond Chocolate 4x110ml",1.35,unit,31p,100ml
Sainsbury's Frozen Strawberries & Blueberries 400g,2.00,unit,50p,100g
Sainsbury's Frozen Dark Sweet Cherries 500g,2.00,unit,40p,100g
Sainsbury's Rocket Ice Lollies x8 464ml,1.10,unit,24p,100ml
Sainsbury's Large Cold Water Prawns 250g,3.50,unit,14.00,kg
Sainsbury's Salmon Fillets 360g,3.25,unit,9.03,kg
Birds Eye Large Breaded Cod Fillets x4 440g,3.50,unit,7.96,kg
Young's Admirals Pie 300g,1.50,unit,5.00,kg
Sainsbury's Lightly Spiced Wedges 900g,1.25,unit,1.39,kg
Sainsbury's Fruit Juice Ice Cream Splits 6x73ml,1.10,unit,25p,100ml
Sainsbury's Cod Fillet Portion 380g,3.25,unit,8.55,kg
Mackie's of Scotland Luxury Traditional Real Dairy Ice Cream 1L,3.00,unit,30p,100ml
Sainsbury's Cod Fish Fingers x30 900g,5.00,unit,5.56,kg
Sainsbury's Baby Whole Leaf Spinach 1kg,1.50,unit,1.50,kg
Sainsbury's Potato Croquettes 700g,1.00,unit,1.43,kg
"Sainsbury's Ice Cream Cones, Mint 4x71g",1.20,unit,27p,100ml
Sainsbury's Sliced Green Beans 1kg,1.00,unit,1.00,kg
Sainsbury's Battered Onion Rings 800g,1.50,unit,1.88,kg
Hagen-Dazs Ice Cream Salted Caramel 460ml,4.20,unit,91p,100ml
"Sainsbury's Ice Cream Cones, Toffee & Vanilla 4x110ml",1.20,unit,27p,100ml
Sainsbury's Seasoned Curly Fries 700g,1.50,unit,2.14,kg
"Sainsbury's Indulgence Ice Cream, White Chocolate 4x110ml",1.35,unit,31p,100ml
Sainsbury's White Rice Microwavable Bags x4 200g,1.75,unit,2.19,kg
Sainsbury's Sliced Mushrooms 750g,1.50,unit,2.00,kg
Sainsbury's Garlic Baguette x2 310g,80p,unit,2.37,kg
Birds Eye Beef Quarter Pounders x4 454g,3.00,unit,6.61,kg
"Sainsbury's Breaded Chunky Cod Loins, Taste the Difference x2 300g",3.00,unit,10.00,kg
"Sainsbury's Choc Ices, Dark 8x70ml",1.20,unit,21p,100ml
Sainsbury's Potato Waffles x12 680g,1.25,unit,1.84,kg
Sainsbury's Crinkle Cut Chips 1.5kg,1.50,unit,1.00,kg
Sainsbury's Frozen Whole Strawberries 500g,2.00,unit,40p,100g
Magnum Ice Cream Mint 4x100ml,3.20,unit,80p,100ml
McCain Potato Smiles 454g,1.80,unit,3.96,kg
Sainsbury's Scottish Wholetail Breaded Scampi 300g,3.00,unit,10.00,kg
Hagen-Dazs Ice Cream Vanilla 460ml,4.20,unit,91p,100ml
"Sainsbury's Aberdeen Angus Quarter Pounders, Taste the Difference x4 454g",3.00,unit,6.61,kg
J. James Chicken Portions 2.5kg,4.00,unit,1.60,kg
Sainsbury's New Zealand Lamb Mince 500g,3.75,unit,7.50,kg
Birds Eye Original Beef Burgers x4 227g,1.80,unit,7.93,kg
"Sainsbury's Chunky Maris Piper Chips, Taste the Difference 1.5kg",2.75,unit,1.83,kg
Sainsbury's Steak Cut Chips 1.5kg,1.50,unit,1.00,kg
Plant Pioneers Meat Free Mince 500g,1.75,unit,3.50,kg
Birds Eye Battered Fish Fillets x4 400g,2.85,unit,7.13,kg
McCain Triple Cooked Gastro Chips 700g,2.00,unit,2.86,kg
"Sainsbury's Triple Cooked Chips, Taste the Difference 900g",2.30,unit,2.56,kg
Birds Eye Cod Fish Fingers Big Value Pack x30 840g,6.50,unit,7.74,kg
Sainsbury's Mozzarella Sticks x12 180g,1.50,unit,83p,100g
Sainsbury's Mini Indulgence Sticks 8x400ml,2.00,unit,50p,100ml
Sainsbury's Frozen Potato Mash 1.4kg,2.00,unit,1.43,kg
Sainsbury's Breaded Plaice Fillets x2 260g,2.50,unit,9.62,kg
Sainsbury's Haddock Fillet Portion 380g,3.25,unit,8.55,kg
Birds Eye 20 Omega 3 Fish Fingers 560g,3.50,unit,6.25,kg
Sainsbury's Beef Quarter Pounders x4 454g,2.50,unit,5.51,kg
Young's Breaded Cod Fillets x4 440g,4.50,unit,10.23,kg
Magnum Salted Caramel Ice Cream 4x100ml,3.20,unit,80p,100ml
Sainsbury's Four Berry Medley Frozen Fruit 1kg,3.50,unit,35p,100g
Snickers Ice Cream 4x53ml,1.50,unit,78p,100ml
Sainsbury's Large King Prawns 180g,3.00,unit,16.67,kg
Wall's Ice Cream Dessert Cream of Cornish Vanilla  1L,3.00,unit,30p,100ml
Carte D'Or Salted Caramel Ice Cream 1L,2.00,unit,20p,100ml
McCain Frozen Baked Jacket Potatoes x8 1.6kg,4.00,unit,2.50,kg
Sainsbury's Chicken Dippers x36 1kg,3.15,unit,3.15,kg
Richmond Thick Frozen Pork Sausages x20 907g,3.00,unit,3.31,kg
Young's Chip Shop 2 Extra Large Fish Fillets in our Crisp Bubbly Beer Batter 320g,2.00,unit,6.67,kg
Plant Pioneers Meatfree Wellington 500g,2.50,unit,5.00,kg
Viennetta Biscuit Caramel Ice Cream 650ml,1.00,unit,15p,100ml
Sainsbury's Strawberry Gateau 610g,2.20,unit,36p,100g
Sainsbury's Toffee Cream Gateau Bar 400g,2.00,unit,50p,100g
