Description,Price/Unit,Unit,Price/Measure,Measure
Fanta Zero Orange 2L,1.75,unit,9p,100ml
Alpro Soya Long Life Drink 1L,1.60,unit,1.60,ltr
Rude Health Almond Drink 1L,2.00,unit,2.00,ltr
Arla Lactofree Fresh Skimmed Dairy Drink 1 Litre,1.50,unit,1.50,ltr
Yorkshire Everyday Tea Bags x240,5.75,unit,77p,100g
Barefoot Pinot Grigio 75cl,6.75,unit,6.75,75cl
Budweiser Lager Beer Bottles 15x300ml,8.00,unit,1.78,ltr
Alpro Soya Growing Up Long Life Drink 1L,1.60,unit,1.60,ltr
"Sainsbury's Cranberry Juice Drink, No Added Sugar 1L",85p,unit,9p,100ml
R Whites Lemonade 2L,1.00,unit,5p,100ml
"Sainsbury's Double Strength Lemon Squash, No Added Sugar 1.5L",1.00,unit,7p,100ml
Sainsbury's Pure Apple Juice 4x1L,3.00,unit,8p,100ml
"Sainsbury's 100% Pure Squeezed Pink Grapefruit Juice, Not From Concentrate 1L",1.80,unit,18p,100ml
Casillero Del Diablo Cabernet Sauvignon 75cl,6.00,unit,6.00,75cl
"Sainsbury's 100% Apple Juice, Not From Concentrate 1.75L",1.95,unit,11p,100ml
"Sainsbury's Orange & Mango Juice, Not From Concentrate 1L",1.25,unit,13p,100ml
Yakult Yogurt Drink 7x65ml,3.00,unit,66p,100ml
Sainsbury's Cloudy Lemonade No Added Sugar 2L,70p,unit,4p,100ml
Evian Natural Mineral Water 12x330ml,3.75,unit,9p,100ml
Volvic Touch of Fruit Sugar Free Strawberry Flavoured Water 1.5L,1.10,unit,7p,100ml
Sainsbury's Pineapple Juice 1L,85p,unit,9p,100ml
Schweppes Slimline Tonic Water 12x150ml,3.50,unit,19p,100ml
Nescaf Original Instant Coffee 300g,7.00,unit,2.33,100g
Diet Coke 2L,1.50,unit,7p,100ml
Alpro Almond Long Life Drink 1L,1.80,unit,1.80,ltr
Robinsons Fruit & Barley Peach Squash No Added Sugar 1L,1.75,unit,18p,100ml
"Sainsbury's Lemonade, Diet 1L",55p,unit,6p,100ml
Actimel Yogurt Drink 0% Fat Strawberry 8x100g,2.75,unit,34p,100g
Tropicana Orange Juice Original 1.6L,3.80,unit,24p,100ml
Evian Natural Mineral Water 4x750ml (Sports Cap),2.75,unit,9p,100ml
San Pellegrino Sparkling Natural Mineral Water 6x1L,5.00,unit,8p,100ml
Lucozade Sport Orange 4x500ml,2.50,unit,13p,100ml
Vita Coco Coconut Water 1L,3.50,unit,35p,100ml
Barefoot Merlot 75cl,6.75,unit,6.75,75cl
Ribena Squash Blackcurrant 1.5L,2.50,unit,17p,100ml
"Sainsbury's Fairtrade Colombian Coffee, Taste the Difference, Strength 3 227g",3.00,unit,1.32,100g
Sainsbury's Chocolate Milkshake 1L,85p,unit,85p,ltr
"Sainsbury's Strawberry Conserve, Taste the Difference 340g",1.60,unit,47p,100g
Sainsbury's Lemonade 1L,55p,unit,6p,100ml
Vina Maipo Sauvignon Blanc 75cl,5.00,unit,5.00,75cl
Sainsbury's Apple & Raspberry Juice Drink 1L,1.25,unit,13p,100ml
Mondelli 789 Pinot Grigio 75cl,5.00,unit,5.00,75cl
Buxton Still Natural Mineral Water 6x1.5L,3.00,unit,3p,100ml
Highland Spring Still Water 1L,1.00,unit,10p,100ml
Mondelli Pinot Grigio 75cl,4.85,unit,4.85,75cl
Robinsons Fruit & Barley Orange Squash No Added Sugar 1L,1.75,unit,18p,100ml
Bottlegreen Elderflower Cordial 500ml,2.50,unit,50p,100ml
Innocent Apple Juice 900ml,2.50,unit,28p,100ml
Sainsbury's Pure Tomato Juice 1L,85p,unit,9p,100ml
"Sainsbury's Dry Ginger Ale, Diet 1L",60p,unit,6p,100ml
Robinsons Fruit & Barley Summer Fruits Squash No Added Sugar 1L,1.75,unit,18p,100ml
"Sainsbury's British Semi Skimmed Milk, SO Organic 568ml (1 pint)",65p,unit,1.14,ltr
7UP Free Sparkling Lemon & Lime Drink 2L,1.25,unit,6p,100ml
"Robinsons Double Concentrate Apple & Blackcurrant Squash, No Added Sugar 1.75L",2.50,unit,14p,100ml
Sainsbury's Diet Cola 2L,45p,unit,2p,100ml
Peroni Nastro Azzurro Lager 12x330ml,12.00,unit,3.03,ltr
Sainsbury's High Juice Summer Fruits Squash 1L,2.30,unit,23p,100ml
"Sainsbury's Double Strength Blackcurrant Squash, No Added Sugar 1.5L",1.00,unit,7p,100ml
Sharp's Doom Bar Amber Ale 500ml,1.75,unit,3.50,ltr
Alpro Coconut Chilled Drink 1L,1.80,unit,1.80,ltr
"Sainsbury's Apple & Pear Juice, Not From Concentrate 1L",1.25,unit,13p,100ml
Taylors of Harrogate Lazy Sunday Ground Coffee,3.75,unit,1.65,100g
Shloer White Grape Sparkling Juice Drink 750ml,1.10,unit,15p,100ml
Sainsbury's Cranberry & Raspberry Juice Drink 1L,1.25,unit,13p,100ml
Diet Pepsi 2L,1.50,unit,8p,100ml
Ribena Squash Blackcurrant Light 850ml,2.30,unit,27p,100ml
Actimel Yogurt Drink Strawberry 8x100g,2.75,unit,34p,100g
Volvic Touch of Fruit Sugar Free Lemon & Lime Flavoured Water 1.5L,1.10,unit,7p,100ml
"Robinsons Double Concentrate Orange Squash, No Added Sugar 1.75L",2.50,unit,14p,100ml
Yeo Valley Organic Semi Skimmed Milk 1L,1.30,unit,1.30,ltr
Rose's Lime Juice Cordial 1L,2.15,unit,22p,100ml
Diet Pepsi Cans 8x330ml,3.00,unit,11p,100ml
Vina Maipo Merlot 75cl,5.00,unit,5.00,75cl
Copella Cloudy Apple Juice 1.35L,2.00,unit,15p,100ml
Taylors of Harrogate Rich Italian Ground Coffee,3.75,unit,1.65,100g
Bergerac Grande Reserve Sauvignon Blanc Semillon 75cl,7.00,unit,7.00,75cl
7UP Free Sparkling Lemon & Lime Drink 6x330ml,2.50,unit,13p,100ml
Sainsbury's Rich Roast Instant Coffee 200g,2.00,unit,1.00,100g
Benecol Original No Added Sugar Yogurt Drink 6x67.5g,3.95,unit,98p,100g
"Sainsbury's Freshly Squeezed Smooth Orange Juice, Taste the Difference 1L",2.50,unit,25p,100ml
Alpro Soya No Sugars Long Life Drink 1L,1.60,unit,1.60,ltr
"Sainsbury's Fairtrade House Blend Original Coffee, Strength 3 227g",2.30,unit,1.01,100g
"Sainsbury's Tropical Juice, Not From Concentrate 1L",1.25,unit,13p,100ml
Yorkshire Everyday Tea Bags Decaffeinated x80,2.50,unit,1.00,100g
"Sainsbury's Raspberry Conserve, Taste the Difference 340g",1.60,unit,47p,100g
Highland Spring Sparkling Water 1.5L,85p,unit,6p,100ml
"Sainsbury's High Juice Orange Squash, No Added Sugar 1L",1.25,unit,13p,100ml
Sainsbury's High Juice Blackcurrant Squash  1L,2.30,unit,23p,100ml
Coca-Cola Zero Sugar 2L,1.50,unit,7p,100ml
"Sainsbury's Coolwater Bay Marlborough Sauvignon, Taste the Difference 75cl",6.75,unit,6.75,75cl
Lavazza Qualita Rossa Ground Coffee 2x250g,5.80,unit,1.16,100g
Sainsbury's British Filtered Whole Milk 2L,1.35,unit,68p,ltr
Fever Tree Refreshingly Light Tonic Water Can 8x150ml,4.00,unit,33p,100ml
Sainsbury's House Pinot Grigio Blush 75cl,4.50,unit,4.50,75cl
Diet Coke 4x1.5L,5.90,unit,10p,100ml
Schweppes Tonic Water 12x150ml,3.50,unit,19p,100ml
J2O Orange & Passion Fruit Juice Drink 4x275ml,2.50,unit,23p,100ml
Sainsbury's Gold Roast Instant Coffee 500g,6.75,unit,1.35,100g
Barefoot Malbec 75cl,5.75,unit,5.75,75cl
"Twinings Peppermint Tea, 20 Tea Bags",1.70,unit,4.25,100g
Vimto Squash No Added Sugar  2L,2.00,unit,10p,100ml
Alpro Almond Chilled Drink 1L,1.80,unit,1.80,ltr
Yakult Light Yogurt Drink 7x65ml,3.00,unit,66p,100ml
Fruit Shoot Apple & Blackcurrant Kids Juice Drink 8x200ml,3.00,unit,19p,100ml
Coca-Cola Original Taste 1.5L,1.60,unit,10p,100ml
La Patrie Cahors Malbec 75cl,7.00,unit,7.00,75cl
"Sainsbury's 100% Pure Squeezed Orange Juice with Bits, Not From Concentrate 1.75L",1.95,unit,11p,100ml
Yorkshire Everyday Tea Bags x160,4.50,unit,90p,100g
Sainsbury's Diet Lemonade 6x330ml,1.65,unit,8p,100ml
The Famous Grouse Blended Whisky 1L,17.00,unit,17.00,ltr
Actimel Yogurt Drink Multifruit 12x100g,3.75,unit,31p,100g
Pepsi Max Cans 24x330ml,7.00,unit,9p,100ml
"Twinings English Breakfast Tea, 100 Tea Bags",5.30,unit,2.12,100g
Stella Artois Premium Lager Beer Bottles 15x284ml,11.00,unit,2.58,ltr
"Sainsbury's Bitter Lemon, Diet 1L",60p,unit,6p,100ml
Fever Tree Indian Tonic Water 500ml (Sugar levy applied),1.60,unit,32p,100ml
Corona Extra Premium Lager Beer Bottles 12x330ml,9.00,unit,2.27,ltr
Innocent Orange Juice With Bits 1.35L,2.50,unit,18p,100ml
Innocent Smoothie Seriously Strawberry & Bananas 750ml,2.00,unit,27p,100ml
Robinsons Fruit & Barley Apple & Pear Squash No Added Sugar 1L,1.75,unit,18p,100ml
Sainsbury's Pure Variety Juice 6x200ml,1.50,unit,13p,100ml
Coca-Cola Original Taste 6x330ml,3.50,unit,18p,100ml
Sainsbury's Cranberry Juice Drink 1L,1.25,unit,13p,100ml
Ocean Spray Cranberry Classic 1L,1.00,unit,10p,100ml
Sainsbury's High Juice Squash Apple & Alphonso Mango 1L,2.30,unit,23p,100ml
Diet Coke 1.25L,1.50,unit,12p,100ml
Arla Lactofree Long Life Semi-Skimmed Dairy Drink 1L,1.45,unit,1.45,ltr
PG tips Original Biodegradable Black Tea Bags x80,2.00,unit,86p,100g
Bouchard Aine Et Fils Pinot Noir 75cl,6.50,unit,6.50,75cl
Benecol Yogurt Drink Strawberry 6x67.5g,3.95,unit,98p,100g
Hardys Varietal Chardonnay 75cl,5.30,unit,5.30,75cl
Graham's Gold Jersey Full Cream Milk 1L,1.00,unit,1.00,ltr
Gordon's London Dry Gin 1L,17.00,unit,17.00,ltr
Foster's Lager Beer Cans 18 x 440ml,10.00,unit,1.26,ltr
Shloer Red Grape Sparkling Juice Drink 750ml,1.10,unit,15p,100ml
Alpro Coconut Long Life Drink 1L,1.80,unit,1.80,ltr
Actimel Yogurt Drink Multifruit 8x100g,2.75,unit,34p,100g
Innocent Smoothie Magnificent Mango & Passion Fruits 750ml,2.00,unit,27p,100ml
Sainsbury's Strawberry Milkshake 1L,85p,unit,85p,ltr
Nescaf Gold Origins Alta Rica Instant Coffee 100g,3.00,unit,3.00,100g
Volvic Mineral Water 6x500ml,2.00,unit,7p,100ml
Torres Vina Sol 75cl,6.00,unit,6.00,75cl
Rice Dream Organic Rice Drink 1L,1.60,unit,16p,100ml
