Description,Price/Unit,Unit,Price/Measure,Measure
4m Wrap - LWC - Nordic - Moorlands Foliage,2.00,unit,2.00,ea
Puzzler Collection Magazine,3.50,unit,3.50,ea
Sainsbury's Accents Of The Season Bouquet,10.00,unit,10.00,ea
"Henri Winterman's Cafe Creme Cigars, Blue x10",6.45,unit,65p,cig
Hamlet Fine Cigars x10,12.55,unit,1.26,cig
Richmond Real Blue Superkings x20,11.25,unit,56p,cig
Ten Motives Electronic Cigarette,6.00,unit,6.00,ea
Regal King Size x20.,12.75,unit,64p,cig
"Duracell Plus Alkaline AA Batteries, pack of 24",17.00,unit,71p,batt
"Duracell Plus Alkaline C Batteries, pack of 6",10.00,unit,1.67,batt
Habitat Hyacinth in Paper Pot,3.00,unit,3.00,ea
Sainsbury's Home Simplicity Teaspoons x4,4.00,unit,4.00,ea
"Duracell Plus Alkaline AAA Batteries, pack of 16",11.00,unit,69p,batt
Windsor John Player Special Real Blue King Size x20,10.14,unit,51p,cig
Hamlet Miniatures Cigars x10,6.40,unit,64p,cig
Sainsbury's Medium British Turkey Crown 2-2.3kg,17.50,unit,7.61,kg
East Anglian Free Range Medium Eggs x6,1.85,unit,31p,ea
Sainsbury's Home Serenity Hi Ball Glasses x4,5.00,unit,5.00,ea
Take A Break Magazine,2.10,unit,2.10,ea
Sainsbury's Home Measuring Jug 1L,50p,unit,50p,ea
Sainsbury's Home Parcel Tape 48mm x 60m,2.50,unit,2.50,ea
Sainsbury's Amethyst Bouquet,5.00,unit,5.00,ea
Sainsbury's Home Sauce Pots 40ml x2,1.50,unit,1.50,ea
Sainsbury's Home Black Hardback Wiro Notebook A5,1.50,unit,1.50,ea
Sainsbury's Honeysuckle & Vanilla Candle 175g,2.00,unit,2.00,ea
Richmond Bright Blue Superkings x20,11.25,unit,56p,cig
Sainsbury's Home Extra Long Life AAA4 Alk Batteries,3.00,unit,75p,unit
Sainsbury's White Porcelain Dinner Plate,3.00,unit,3.00,ea
Sainsbury's Rose & Alstroemeria Bouquet,5.00,unit,5.00,ea
Z-Grip Ball Pen Black x10,3.00,unit,3.00,ea
Sainsbury's Home Klip Lock Storage Rectangular 450ml,2.50,unit,2.50,ea
Sainsbury's Festive Meaty Strips with Turkey and Sage x20,1.00,unit,5.00,kg
Sainsbury's Home stainless steel can opener,3.50,unit,3.50,ea
Gold Leaf Tobacco 30g,12.80,unit,42.67,100g
St Bruno Ready Rubbed Pipe Tobacco 50g,16.85,unit,33.70,100g
Sainsbury's Home Elegance Wine Glasses 4pk,8.00,unit,8.00,ea
Sainsbury's Home General Purpose String 40m,1.50,unit,1.50,ea
Sainsbury's Home Dinner Taper Candles x10,3.50,unit,3.50,ea
Cutters Choice 30g,15.85,unit,52.83,100g
Sainsbury's Home Multipurpose Printer Paper 75gsm 500 sheets,3.50,unit,3.50,ea
Marlboro Silver x20,11.90,unit,60p,cig
Sovereign Blue King Size x20,9.25,unit,46p,cig
Sainsbury's Turkey Crown 1-1.59kg,9.00,unit,9.00,kg
Sainsbury's Home 3Pc Oven Tray Set Black,21.00,unit,21.00,ea
Windsor John Player Special Real Blue Superkings 5x20,50.54,unit,51p,cig
Sainsbury's Soft Square Nibble Bowl White,2.25,unit,2.25,ea
Sellotape Super Clear Tape & Dispenser,2.50,unit,2.50,ea
Price's Chef's Candle Jar,5.00,unit,5.00,ea
Energizer Max Plus AAA Batteries 10-Pack,8.50,unit,85p,batt
"Ritmeester Cigars, Royal Dutch Miniatures x10",4.65,unit,47p,cig
Sainsbury's Home Klip Lock Storage Set 3pc,7.00,unit,7.00,ea
Garden News Magazine,1.99,unit,1.99,ea
Daytona De-Icer trigger 500ml,3.00,unit,3.00,ea
Sainsbury's Blossom Petals Reed Diffuser 80ml,3.50,unit,43.75,ltr
Lambert & Butler Blue Bright Air King Size x20,9.30,unit,47p,cig
Rizla Menthol Chill Flavour Infusion Card,39p,unit,39p,ea
Sainsbury's Home Black Ballpoint Pen 10pk,1.50,unit,1.50,ea
Sainsbury's Soft Square Dinner Plate,3.50,unit,3.50,ea
Minky Smart Fit Ironing Board Cover,6.00,unit,6.00,ea
Woman's Weekly Magazine,2.60,unit,2.60,ea
Price's Open Window Candle Jar,5.00,unit,5.00,ea
Cutters Choice Original Tobacco 50g,26.20,unit,26.20,cig
Sainsbury's HomeAA Batteries 12 PK,6.00,unit,50p,unit
Sainsbury's Home Dl White Self Seal Envelopes 50pk,1.50,unit,1.50,ea
Sainsbury's Chrysanthemum Plant (Colour may vary),3.50,unit,3.50,ea
Staedtler Norris 5pk Hb Pencils,1.75,unit,1.75,ea
Sainsbury's Home Extra Long Life C Battery x2,3.00,unit,1.50,unit
Sainsbury's White Porcelain Side Plate,2.50,unit,2.50,ea
Get Creative PVA Glue 250ml,1.00,unit,1.00,ea
Royals Red King size x20,11.80,unit,59p,cig
Energizer Max AAA x12,5.00,unit,42p,batt
Woman Magazine,1.40,unit,1.40,ea
4m Wrap - LWC - Dear Santa - Baubles,1.50,unit,1.50,ea
Sainsbury's Taste the Difference Bread Sauce with Ciabatta Loaf Breadcrumbs 70g,80p,unit,1.14,100g
Sainsbury's Home 10pk Champagne Flutes,2.00,unit,2.00,ea
Sainsbury's Home Klip Lock Dry Food Container,5.50,unit,5.50,ea
Sainsbury's Home Dinner Napkins Cream 40cm 3ply x20,2.25,unit,2.25,ea
"Sainsbury's Frosty Snowflake Iced Fruit Cake, Taste the Difference 450g",6.00,unit,1.33,100g
Sainsbury's Home 3pc Baking Tray Set (32cm/35cm/38cm),7.00,unit,7.00,ea
John Player Special Roll Your Own Tobacco 50g,22.20,unit,44.40,100g
Vileda 1 2 Spray Liquid Refill,3.75,unit,3.75,ea
3m Wrap - Kraft - Hibernation - Kraft Star,2.50,unit,2.50,ea
Superkings x200,127.00,unit,64p,cig
John Player Special Real Blue King Size 5x20,50.50,unit,51p,cig
Sainsbury's Mixed Puzzles Book,2.60,unit,2.60,ea
Sainsbury's Home Extra Long Life 9V2 Alk Batteries,4.50,unit,2.25,unit
"Duracell Specialty 2032 Lithium Coin Battery 3V, pack of 4",8.00,unit,2.00,unit
Sainsbury's White Porcelain Egg Cup,2.00,unit,2.00,ea
Sainsbury's Home Supersoft Washable Pillow Pair Med,10.00,unit,10.00,ea
Sainsbury's Green Plant 12cm (Plant may vary),3.50,unit,3.50,ea
Sainsbury's Reed Diffuser Night Lavender 80ml,3.50,unit,43.75,ltr
Sainsbury's Home Serenity Tumbler Glasses x4,5.00,unit,5.00,ea
Lambert & Butler Gold King Size 5x20,51.75,unit,52p,cig
Sainsbury's Home Hi Ball Glasses x4,1.50,unit,1.50,ea
Mayfair Sky Blue Superkings x20,10.45,unit,52p,cig
"Duracell Specialty LR44 Alkaline Button Battery 1,5V, pack of 2",5.00,unit,2.50,batt
Sainsbury's Home White Tablecover 120x180cm,2.50,unit,2.50,ea
Loctite Super Glue Power Flex Gel Control 3g,3.50,unit,3.50,ea
Korbond Care & Repair Lint Roller Refills 2 x 3m Adhesive,3.00,unit,3.00,ea
Rothmans Blue King Size x24,11.20,unit,47p,cig
Players Bright Blue King Size x20,9.30,unit,47p,cig
Lambert & Butler Silver King Size 10x20,102.50,unit,51p,cig
Sterling King Size x20,10.15,unit,51p,cig
Richmond Real Blue King Size x20,11.25,unit,56p,cig
Tipp-Ex Rapid,2.00,unit,2.00,ea
Sainsbury's Indulgence Bouquet,12.00,unit,12.00,ea
Ten Motives Electronic Cigarette Menthol,6.00,unit,6.00,ea
Sainsbury's Home Traditional Noel Bottle Bag,75p,unit,75p,ea
Sainsbury's Non Bio Laundry Gel 900ml,3.00,unit,3.33,ltr
"Air Wick Limited Edition Candle, Mulled Wine",3.00,unit,3.00,ea
"Henri Winterman's Cafe Creme Cigars, Filter Aromatic x10",6.45,unit,65p,cig
Chat Magazine,1.05,unit,1.05,ea
Sainsbury's Home Labels x250,2.00,unit,2.00,ea
Bostik All Purpose Glue 20ml,1.75,unit,1.75,ea
HOME LED Standard 60w BC x2,5.00,unit,5.00,ea
American Spirit Tobacco 30g,18.60,unit,62p,g
Private Eye Magazine,2.00,unit,2.00,ea
"Duracell Specialty 2025 Lithium Coin Battery 3V, pack of 2",5.00,unit,2.50,batt
Good Boy Real Meat Dog Stocking,5.00,unit,5.00,ea
Sainsbury's Magazine December Issue,3.00,unit,3.00,ea
Pyrex 35X23Cm Rectangular Roaster,8.00,unit,8.00,ea
Sainsbury's Home Elegance Gin Glass x2,8.00,unit,8.00,ea
Sainsbury's Home Non Stick Pizza Tray,3.00,unit,3.00,ea
Windsor John Player Special Bright Blue Superkings x20,10.14,unit,51p,cig
Sainsbury's Home Black Hardback Wiro Notebook A4,2.00,unit,2.00,ea
Clan Aromatic Pipe Tobacco 50g,16.60,unit,33.20,100g
Sainsbury's Home Clear Tumblers 250ml x20,1.50,unit,1.50,ea
Sainsbury's Crosswords Puzzle Book,2.60,unit,2.60,ea
6pk Dinner Cracker - Dear Santa Character Game,5.25,unit,5.25,ea
Sistema Davina 700ml Purple/Green,3.00,unit,3.00,ea
Slimming World Magazine,2.95,unit,2.95,ea
John Player Special Bright Silver King Size x20,10.14,unit,51p,cig
Sainsbury's Home Rainbow Party Poppers x50,2.50,unit,2.50,ea
Daytona Screenwash Ready Mixed 5ltr -5 Degrees,4.50,unit,4.50,ea
Pyrex 21X13Cm Oval Roaster,4.00,unit,4.00,ea
Woman & Home Magazine,4.99,unit,4.99,ea
Daytona De-Icer Aerosol 600ml,3.00,unit,3.00,ea
Baby Bio Drip Feeder,1.20,unit,1.20,ea
Sellotape Hand Dispenser,2.50,unit,2.50,ea
10pk Cards - Partridge In A Pear Tree,2.50,unit,2.50,ea
Sainsbury's Dog Treats Festive Small Log Bones with Turkey x4,80p,unit,4.45,kg
Sainsbury's Soft Square Side Plate,3.00,unit,3.00,ea
