Description,Price/Unit,Unit,Price/Measure,Measure
Dettol All in One Disinfectant Antibacterial Spray Crisp Linen 400ml,3.00,unit,7.50,ltr
Dettol Original Liquid Antiseptic Disinfectant for First Aid 750ml,4.50,unit,6.00,ltr
Fairy Non Bio Washing Liquid for Sensitive Skin 1.12L (32 Washes),5.00,unit,4.46,ltr
Sainsbury's Ultra Absorbent Kitchen Towel 3 Rolls,3.00,unit,1.00,100sht
Sainsbury's Antibacterial Total Cleaning Surface Wipes x40,1.00,unit,3p,wipe
Sainsbury's Ironing Water Passion Flower 1L,1.00,unit,1.00,ltr
Harpic Active Fresh Toilet Cleaner Gel Pine Scent 750ml,1.00,unit,1.33,ltr
Fairy All In One Dishwasher Tablets Regular x29,5.00,unit,17p,ea
Sainsbury's Super Absorbent Recycled x2,2.00,unit,1.00,100sht
Persil Bio Laundry Liquid 1.43L,6.50,unit,4.54,ltr
Harpic White & Shine Toilet Bleach Citrus 750ml,1.00,unit,1.33,ltr
Glade Air Freshener Clean Linen 300ml,1.00,unit,3.33,ltr
Flash Wooden Floors All Purpose Liquid Cleaner 1L,2.00,unit,2.00,ltr
Sainsbury's All Purpose Cleaner Citrus 1L,1.00,unit,1.00,ltr
Whats On TV England All Editions,75p,unit,75p,ea
Domestos Power 5 Toilet Rim Block Lime x1 55g,1.00,unit,1.00,ea
Bloo Acticlean Cistern Blocks 2x38g,1.00,unit,50p,ea
Domestos Toilet Bleach Germ Free Original 2L,2.50,unit,1.25,ltr
Fairy Platinum Quickwash Original Washing Up Liquid 625ml,2.00,unit,3.20,ltr
Sainsbury's Cream Cleaner Lemon 500ml,80p,unit,1.60,ltr
Sainsbury's Furniture Polish with Beeswax Natural 300ml,59p,unit,1.97,ltr
Glade Gel Lily Of The Valley,1.00,unit,1.00,ea
Ecover Non-Bio Lavender & Sandalwood Laundry Liquid 1.5L (42 Washes),9.00,unit,6.00,ltr
Bacofoil Easy Cut Cling Film Refill 60m,2.85,unit,5p,mtr
Sainsbury's Stainless Steel Scourers x3,1.20,unit,40p,ea
Marigold Kitchen Gloves Large,2.50,unit,2.50,ea
House 247 Toilet Tissue 2 Ply 9 Rolls,1.90,unit,11p,100sht
Sainsbury's Bathroom Cleaner Sponges x2,1.00,unit,50p,ea
Febreze Cotton Fresh Air Freshener 300ml,2.00,unit,6.67,ltr
Bloo Acticlean Cistern Blocks Citrus 2x38g,1.00,unit,50p,ea
Ecover Multi-Surface Cleaner 500ml,2.50,unit,5.00,ltr
Sainsbury's Cleaning Cloths x4,1.80,unit,45p,ea
Cif Power & Shine Kitchen Spray 700ml,2.00,unit,2.86,ltr
Glade Gel Lavender 160g,1.00,unit,1.00,ea
