Description,Price/Unit,Unit,Price/Measure,Measure
Sainsbury's Penne 1kg,1.00,unit,1.00,kg
Yeo Valley Organic Natural Yogurt 500g,1.65,unit,33p,100g
Sainsbury's Golden Delicious Apples x6,1.60,unit,27p,ea
Sainsbury's Pure Apple Juice 6x200ml,1.50,unit,13p,100ml
Sainsbury's Fresh Packed Mint 30g,75p,unit,25p,10g
Sainsbury's Baked Beans In Reduced Sugar & Salt Tomato Sauce 200g,25p,unit,1.25,kg
Sainsbury's Smoked Streaky Bacon Taste the Difference 220g,2.25,unit,10.23,kg
McVitie's Rich Tea Biscuits 300g,1.20,unit,40p,100g
Heinz Cream of Chicken Soup 400g,80p,unit,20p,100g
Sainsbury's Garlic x4,1.00,unit,25p,ea
Sainsbury's Custard Creams 200g,35p,unit,18p,100g
Sainsbury's Red Kidney Beans in Chilli Sauce 400g,65p,unit,1.63,kg
Sainsbury's Green Pesto 190g,90p,unit,47p,100g
Ambrosia Custard Can 400g,75p,unit,19p,100g
McVitie's Dark Chocolate Digestive Biscuits 266g,1.00,unit,38p,100g
Aunt Bessie's Homestyle Chips 900g,1.75,unit,1.94,kg
Innocent Orange Juice Smooth 1.35L,2.50,unit,18p,100ml
Sainsbury's Smoked Bacon Medallions Be Good To Yourself 200g,2.00,unit,10.00,kg
Happy Egg Large Free Range Eggs x10,2.75,unit,28p,ea
Tilda Steamed Basmati Plain Rice 250g,1.30,unit,5.20,kg
Sainsbury's Thick Unsmoked Bacon Rasher x6 300g,2.05,unit,6.83,kg
Dolmio Bolognese Pasta Sauce Original 500g,1.85,unit,37p,100g
Nestle Multigrain Cheerios Cereal 600g,3.50,unit,58p,100g
Sainsbury's White Muffins x6,85p,unit,14p,ea
Activia Strawberry Yogurt 4pk 480g,2.00,unit,42p,100g
Alpro Soya Chilled Drink 1L,1.55,unit,1.55,ltr
Sainsbury's Peach Slices In Fruit Juice 411g,80p,unit,36p,100g
Sainsbury's Dark Chocolate Basics 100g,40p,unit,40p,100g
Sainsbury's Spaghetti 500g,55p,unit,1.10,kg
Lovett's Digestive Biscuits 400g,45p,unit,11p,100g
Doritos Cool Original Tortilla Chips 180g,95p,unit,53p,100g
Sainsbury's Plain Flour 1.5kg,80p,unit,53p,kg
Sainsbury's Unsmoked Back Bacon Rashers  x8 250g,1.50,unit,6.00,kg
Sensations Thai Sweet Chilli Crisps 150g,1.00,unit,67p,100g
Sainsbury's Milk Chocolate Digestive Biscuits Basics 300g,65p,unit,22p,100g
Sainsbury's Trimmed Mange Tout 200g,1.35,unit,6.75,kg
Branston Baked Beans 4x410g,2.00,unit,1.22,kg
Sainsbury's Royal Gala Apples SO Organic x6,2.30,unit,38p,ea
Sainsbury's Closed Cup White Mushrooms 500g,1.50,unit,3.00,kg
Uncle Ben's Classic Microwave Rice Basmati 250g,1.55,unit,6.20,kg
Ambrosia Rice Pudding Can 400g,75p,unit,19p,100g
Sainsbury's Arborio Risotto Rice 500g,1.25,unit,2.50,kg
Muller Corner Vanilla & Banana Yogurts with Chocolate Balls 6 x 130g,3.00,unit,38p,100g
Sainsbury's Wholemeal Tortilla Wraps x8 512g,90p,unit,11p,ea
Quaker Oat So Simple Original Porridge 12x27g,2.75,unit,85p,100g
