Description,Price/Unit,Unit,Price/Measure,Measure
"Sainsbury's Lasagne, Taste the Difference 400g (Serves 1)",3.50,unit,8.75,kg
"Sainsbury's Cottage Pie, Taste the Difference 400g (Serves 1)",3.50,unit,8.75,kg
Saint Agur Blue Cheese 150g,2.35,unit,15.67,kg
Alpro Blueberry & Cherry Yoghurt Alternative x4 125g,1.90,unit,38p,100g
Sainsbury's Classics Beef Casserole with Dumplings 400g (Serves 1),2.50,unit,6.25,kg
Stork Original Baking Block 250g,90p,unit,3.60,kg
Sainsbury's Sweet & Crunchy Stir Fry 600g,1.50,unit,25p,100g
"Sainsbury's Broccoli, Tomato & Cheese Quiche 400g",2.30,unit,58p,100g
Sainsbury's Indian Chicken Tikka Masala with Pilau Rice 400g (Serves 1),2.00,unit,5.00,kg
Alpro Coconut Chilled Drink 1L,1.80,unit,1.80,ltr
Sainsbury's Tomato & Basil Sauce 350g,1.50,unit,43p,100g
New Covent Garden Leek & Potato Soup 560g,2.00,unit,36p,100g
Sainsbury's Fresh Egg Tagliatelle 500g,1.75,unit,3.50,kg
Sainsbury's Tomato & Mascarpone Sauce 350g,1.50,unit,43p,100g
"Sainsbury's Garlic Flatbread, Taste the Difference 195g",2.00,unit,1.02,100g
Copella Cloudy Apple Juice 1.35L,2.00,unit,15p,100ml
Sainsbury's Buttersoft Spread 500g,2.00,unit,4.00,kg
"Sainsbury's Spicy Tomato, Lentil & Red Pepper Soup 600g",1.60,unit,27p,100g
Sainsbury's Sweet & Sour Chicken With Rice 400g (Serves 1),2.75,unit,6.88,kg
Sainsbury's Classic Liver & Bacon With Mash 400g (Serves 1),2.00,unit,5.00,kg
Sainsbury's Chicken & Vegetable Broth 600g,1.60,unit,27p,100g
Sainsbury's Macaroni Cheese 375g (Serves 1),2.00,unit,5.34,kg
Alpro Vanilla Yoghurt Alternative 500g,1.75,unit,35p,100g
Elmlea Light Double Cream Alternative 284ml,1.20,unit,42p,100ml
New Covent Garden Slow Roast Tomato Soup 560g,2.00,unit,36p,100g
Actimel Yogurt Drink Multifruit 12x100g,3.75,unit,31p,100g
Sainsbury's Stonebaked Ham & Pineapple Hand Stretched Pizza 295g,3.00,unit,10.17,kg
Ginsters Chicken & Mushroom Slice 170g,1.75,unit,1.03,100g
Innocent Smoothie Seriously Strawberry & Bananas 750ml,2.00,unit,27p,100ml
Innocent Smoothie Magnificent Mango & Passion Fruits 750ml,2.00,unit,27p,100ml
Sainsbury's Lentil Dahl Soup 600g,1.60,unit,27p,100g
Sainsbury's Hoisin Stir Fry Sauce 175ml,1.00,unit,57p,100ml
Sainsbury's Everyday Lactose Free Semi Skimmed Dairy Drink 1L,1.00,unit,1.00,ltr
Activia Health Fruits Yogurt 8x120g,3.00,unit,31p,100g
Sainsbury's Stonebaked Spinach & Ricotta Hand Stretched Pizza 290g,3.00,unit,10.34,kg
Oatly Oat Drink Semi Chilled 1L,1.80,unit,1.80,ltr
Sainsbury's Somerset Goats Cheese 100g,1.75,unit,17.50,kg
Quorn Vegetarian Cheese & Broccoli Escalope x2 240g,1.70,unit,7.08,kg
Sainsbury's Garlic Baguette 210g,95p,unit,45p,100g
Sainsbury's Classics Beef Dinner 400g (Serves 1),3.50,unit,8.75,kg
Actimel Yogurt Drink 0.1% Fat Original 12x100g,3.75,unit,31p,100g
Sainsbury's Sticky Toffee Sponge Pudding 2x110g,1.50,unit,68p,100g
Sainsbury's Chicken & Bacon Tortelloni 300g,1.25,unit,4.17,kg
Sainsbury's Tomato & Mozzarella Tortelloni 300g,1.25,unit,4.17,kg
The Coconut Collaborative Natural Yogurt Alternative 350g,2.50,unit,71p,100g
G Zillionaires' Chocolate & Salted Caramel Cheesecake Desserts 2x91.5g,2.00,unit,1.20,100g
Actimel Yogurt Drink Strawberry & Blueberry 12x100g,3.75,unit,31p,100g
Quorn Vegetarian Chicken Style Cripsy Fillets 200g,1.70,unit,8.50,kg
