Description,Price/Unit,Unit,Price/Measure,Measure
Oral-B Complete Toothpaste+Mouthwash Refreshing Clean 100ml,1.50,unit,1.50,100ml
Aussie Miracle Moist Shampoo 300ml,4.00,unit,1.33,100ml
Colgate Sensitive Instant Relief Multi Protection Toothpaste 75ml,3.50,unit,4.67,100ml
Femfresh Intimate Hygiene Daily Intimate Wash 250ml,2.00,unit,2.50,ea
Carex Dermacare Moisture Eco Refill Antibacterial Hand Wash 1L,2.85,unit,29p,100ml
Dove Invisible Dry Roll-On Anti-Perspirant Deodorant 50ml,1.50,unit,3.00,100ml
TENA Lady Discreet Normal Incontinence Pads x12,2.40,unit,20p,ea
Carex Original Handwash Refill Pack 1L,2.85,unit,29p,100ml
Steradent Active Fresh Denture Cleaning Tablets x30,1.00,unit,3p,ea
Sainsbury's Cotton Wool Balls x100,1.30,unit,1p,ea
Aquafresh Complete Care Whitening Family Toothpaste 100ml,1.50,unit,1.50,100ml
Always Dailies Extra Protect Panty Liners Large x 52,2.00,unit,4p,ea
Nivea Men Shower Gel Energy 250ml,1.00,unit,40p,100ml
Radox Bath Soak Muscle Therapy 500ml,1.20,unit,24p,100ml
Wet Ones Fresh Antibacterial Hand Wipes x12,1.00,unit,8.33,100sht
Sure Men Invisible Ice Anti-Perspirant Deodorant Aerosol 250ml,1.46,unit,58p,100ml
Always Maxi Profresh Night Sanitary Towels Without Wings x9,2.10,unit,23p,ea
Sainsbury's Ultra Towels Normal Wings x14,65p,unit,5p,ea
Sainsbury's Little Ones Cotton Buds Paper Stemmed x100,40p,unit,0p,ea
Nurofen Express Ibuprofen Pain Relief 200mg Liquid Capsules x16,4.20,unit,26p,ea
Johnson's Baby Powder 500g,1.50,unit,30p,100g
Right Guard Total Defence 5 Anti-Perspirant Deodorant Fresh 250ml,1.50,unit,60p,100ml
Dove Anti-Perspirant Deodorant Stick Invisible Dry 40ml,2.00,unit,5.00,100ml
Always Dailies Extra Protect Panty Liners Long Plus x 24,1.50,unit,6p,ea
Dove Original Beauty Cream Bar 4x100g,2.00,unit,50p,100g
Mitchum Women Triple Odor Defense Protection Powder Fresh Anti-Perspirant & Deodorant 200ml,3.00,unit,1.50,100ml
Sainsbury's Collection Handwash Bergamot & Nectarine 500ml,1.30,unit,26p,100ml
Sure Men Roll On Anti-Perspirant Deodorant Sensitive 50ml,1.00,unit,2.00,100ml
Head & Shoulders Classic Clean Anti-Dandruff Shampoo 250ml,2.00,unit,80p,100ml
Tampax Compak Regular Tampons Applicator x18,2.00,unit,11p,ea
Dove Pure & Sensitive Hypoallergenic Beauty Cream Bar 2x100g,1.00,unit,50p,100g
Wash & Go 2 in 1 Universal Shampoo 200ml,1.00,unit,50p,100ml
Right Guard Xtreme Anti-Perspirant Deodorant Fresh 150ml,1.00,unit,67p,100ml
Dettol Antibacterial Bar Soap Original with Moisturising Agents x2 100 g,1.00,unit,50p,100g
Calpol Sugar Free Suspension Strawberry Flavour 6+ 80ml,3.50,unit,4.38,100ml
Sensodyne Daily Care Extra Fresh Sensitive Fluoride Toothpaste 75ml,3.50,unit,4.67,100ml
Oral-B Complete Extra White Toothpaste 100ml,1.50,unit,1.50,100ml
Colgate Plax Soft Mint Mouthwash with CPC 500ml,2.00,unit,40p,100ml
Imperial Leather Mallowmazing Shower Cream 250ml,90p,unit,36p,100ml
Nivea Anti-Perspirant Deodorant Spray Black & White Original 48 Hours Deo 250ml,1.60,unit,64p,100ml
Nivea Men Anti-Perspirant Deodorant Spray Black & White Original 48 Hours Deo 250ml,1.60,unit,64p,100ml
Always Sensitive Normal Ultra (Size 1) Sanitary Towels Wings x14,95p,unit,7p,ea
Palmolive Hygiene Plus Aloe Sensitive Antibacterial Liquid Handwash Soap 300ml,90p,unit,30p,100ml
Baylis & Harding Black Pepper & Ginseng Handwash 500ml,2.00,unit,40p,100ml
Head & Shoulders Classic Clean Anti-Dandruff 2 in 1 Shampoo 450ml,3.50,unit,78p,100ml
Bodyform Dailies So Slim Panty Liners x34,1.20,unit,4p,ea
Sure Men Roll On Anti-Perspirant Deodorant Original Dry 50ml,1.00,unit,2.00,100ml
Dove Invisible Dry Anti-Perspirant Deodorant Compressed 75ml,1.80,unit,2.40,100ml
Herbal Essences Hello Hydration Shampoo 400ml,2.00,unit,50p,100ml
Silvikrin Classic Hairspray Maximum Hold 400ml,3.50,unit,88p,100ml
The Collection Original Handwash Refill 500ml,1.00,unit,20p,100ml
Sainsbury's Maxi Towel Night x12,90p,unit,8p,ea
Always Ultra Long (Size 2) Sanitary Towels Wings x12,1.90,unit,16p,ea
Nurofen Ibuprofen Pain Relief 200mg Caplets x16,2.20,unit,14p,tblt
Sure Women Invisible Pure Aerosol Anti Perspirant Deodorant 250ml,1.46,unit,58p,100ml
Wright's Coal Tar Bar Soap 125g,80p,unit,64p,100g
Gillette Fusion Sensitive Skin Shaving Gel 200ml,2.00,unit,1.00,100ml
Wet Ones Zingy Antibacterial Hand Wipes x12,1.00,unit,8.33,100sht
Tampax Compak Super Tampons Applicator x18,2.00,unit,11p,ea
Pears Handwash 250ml,2.00,unit,80p,100ml
Sainsbury's Anti-Diarrhoea Capsules x6,1.15,unit,19p,tblt
Imperial Leather Gentle Care Bar Soap 4x100g,1.75,unit,44p,100g
