Description,Price/Unit,Unit,Price/Measure,Measure
Pampers Sensitive Baby Wipes 52 Pack,85p,unit,2p,ea
Pampers Baby Dry Size 5+ Essential Pack 35 Nappies,6.75,unit,19p,napy
Ella's Kitchen Organic Banana and Vanilla Bread Pudding Baby Dessert Pot Multipack 7+ Months 4 x 80g,2.00,unit,55p,100g
Sainsbury's Little Ones Size 1 Newborn 40 Nappies,1.32,unit,3p,napy
Sudocrem Antiseptic Healing Cream 250g,4.50,unit,1.80,100g
Huggies DryNites Girls Pants 8-15 Years x9,5.50,unit,61p,napy
Pampers Sensitive Baby Wipes 4x52 Pack,3.00,unit,1.44,100ea
Pampers Baby-Dry Nappy Pants Size 5 12-17kg x60,9.75,unit,16p,ea
HiPP Organic Sweet Squash & Chicken Jar 6+ Months 125g,60p,unit,48p,100g
Ella's Kitchen Organic Vegetable and Lentil Bake Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
Organix Mini Oaty Bites 110g,2.00,unit,1.82,100g
Kiddylicious Cheesy Straws 4 x 12g (48g),2.00,unit,42p,10g
Sainsbury's Little Ones Fragrance Free Sensitive Bio Baby Wipes x64,65p,unit,1p,ea
HiPP Organic Potato Pumpkin & Chicken Scrumble Tray Meal 230g 12 Month+,1.75,unit,76p,100g
Calpol SixPlus Fastmelts Strawberry Flavour 6+ Years 12 Melt in the Mouth Tablets,3.75,unit,31p,tblt
Ella's Kitchen Organic Veggie Lasagne Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
Pampers Baby-Dry Nappies Size 6 13-18kg x62,9.75,unit,16p,ea
BEAR PAWS Fruit Shapes Raspberry & Blueberry 20g,55p,unit,28p,10g
Sainsbury's Little Ones Organic Pear Prune & Banana Smooth Puree 4+ Months 70g,60p,unit,86p,100g
HiPP Organic Squiggly Spaghetti With Tasty Tomato & Mozzarella Sauce tray Meal 230g 12 Month+,1.75,unit,76p,100g
Cow & Gate Creamy Porridge Cereal 125g 4 Month+,1.75,unit,1.40,100g
HiPP Organic Pasta Tomato & Ham Pasta Bake Jar 190g 7 Month+,70p,unit,37p,100g
SMA PRO First Infant Milk From Birth Ready to Feed 1L,3.70,unit,37p,100ml
Ella's Kitchen Organic Apple and Cinnamon Crumble Baby Dessert Pot Multipack 7+ Months 4 x 80g,2.00,unit,63p,100g
Heinz Apple & Blackcurrant Juice Drink 500ml 6 Month+,1.50,unit,30p,100ml
Ella's Kitchen Organic Veggie Bean Feast Baby Pouch 7+ Months 130g,1.30,unit,1.00,100g
Organix Apple Rice Cakes Multipack 4x28g,2.50,unit,2.23,100g
Johnson's Baby Bath 500ml,1.50,unit,30p,100ml
Sainsbury's Kids Strawberry 2 In 1 Shampoo 250ml,1.00,unit,40p,100ml
Napisan Powder 800g,4.00,unit,4.00,ea
HiPP Organic Cottage Pie Jar 190g 7 Month+,70p,unit,37p,100g
HiPP Vegetables With Noodles & Chicken Jar 190g 7 Month+,70p,unit,37p,100g
Calpol Infant Suspension Paracetamol Medication For 2+ Months Strawberry Flavour 100ml,3.50,unit,3.50,100ml
HiPP Organic Apple & Pear Pudding Jar 125g 4 Month+,60p,unit,48p,100g
Listerine Smartrinse Mild Mint Kids Mouthwash 6+ Years 500ml,3.00,unit,60p,100ml
